,,Female,Male
class,count,15,139
class,unique,1,2
class,top,Live,Live
class,freq,15,107
steroid,count,15,139
steroid,unique,2,2
steroid,top,No,Yes
steroid,freq,8,72
antivirals,count,15,139
antivirals,unique,2,2
antivirals,top,Yes,Yes
antivirals,freq,11,119
fatigue,count,15,139
fatigue,unique,2,2
fatigue,top,No,No
fatigue,freq,12,89
malaise,count,15,139
malaise,unique,2,2
malaise,top,Yes,Yes
malaise,freq,8,85
anorexia,count,15,139
anorexia,unique,2,2
anorexia,top,Yes,Yes
anorexia,freq,12,110
liver_big,count,15,139
liver_big,unique,2,2
liver_big,top,Yes,Yes
liver_big,freq,12,118
liver_firm,count,15,139
liver_firm,unique,2,2
liver_firm,top,No,Yes
liver_firm,freq,8,87
spleen_palpable,count,15,139
spleen_palpable,unique,2,2
spleen_palpable,top,Yes,Yes
spleen_palpable,freq,11,113
spiders,count,15,139
spiders,unique,2,2
spiders,top,Yes,Yes
spiders,freq,9,94
ascites,count,15,139
ascites,unique,1,2
ascites,top,Yes,Yes
ascites,freq,15,119
varices,count,15,139
varices,unique,2,2
varices,top,Yes,Yes
varices,freq,14,122
histology,count,15,139
histology,unique,2,2
histology,top,No,No
histology,freq,11,73
