,,Female,Male
class,count,15,139
class,unique,1,2
class,top,Live,Live
class,freq,15,107
class,mean,,
class,std,,
class,min,,
class,25%,,
class,50%,,
class,75%,,
class,max,,
age,count,15.0,139.0
age,unique,,
age,top,,
age,freq,,
age,mean,42.266666666666666,41.16546762589928
age,std,16.81184389762453,12.10377658293462
age,min,20.0,7.0
age,25%,27.0,32.5
age,50%,41.0,39.0
age,75%,55.5,50.0
age,max,69.0,78.0
steroid,count,15,139
steroid,unique,2,2
steroid,top,No,Yes
steroid,freq,8,72
steroid,mean,,
steroid,std,,
steroid,min,,
steroid,25%,,
steroid,50%,,
steroid,75%,,
steroid,max,,
antivirals,count,15,139
antivirals,unique,2,2
antivirals,top,Yes,Yes
antivirals,freq,11,119
antivirals,mean,,
antivirals,std,,
antivirals,min,,
antivirals,25%,,
antivirals,50%,,
antivirals,75%,,
antivirals,max,,
fatigue,count,15,139
fatigue,unique,2,2
fatigue,top,No,No
fatigue,freq,12,89
fatigue,mean,,
fatigue,std,,
fatigue,min,,
fatigue,25%,,
fatigue,50%,,
fatigue,75%,,
fatigue,max,,
malaise,count,15,139
malaise,unique,2,2
malaise,top,Yes,Yes
malaise,freq,8,85
malaise,mean,,
malaise,std,,
malaise,min,,
malaise,25%,,
malaise,50%,,
malaise,75%,,
malaise,max,,
anorexia,count,15,139
anorexia,unique,2,2
anorexia,top,Yes,Yes
anorexia,freq,12,110
anorexia,mean,,
anorexia,std,,
anorexia,min,,
anorexia,25%,,
anorexia,50%,,
anorexia,75%,,
anorexia,max,,
liver_big,count,15,139
liver_big,unique,2,2
liver_big,top,Yes,Yes
liver_big,freq,12,118
liver_big,mean,,
liver_big,std,,
liver_big,min,,
liver_big,25%,,
liver_big,50%,,
liver_big,75%,,
liver_big,max,,
liver_firm,count,15,139
liver_firm,unique,2,2
liver_firm,top,No,Yes
liver_firm,freq,8,87
liver_firm,mean,,
liver_firm,std,,
liver_firm,min,,
liver_firm,25%,,
liver_firm,50%,,
liver_firm,75%,,
liver_firm,max,,
spleen_palpable,count,15,139
spleen_palpable,unique,2,2
spleen_palpable,top,Yes,Yes
spleen_palpable,freq,11,113
spleen_palpable,mean,,
spleen_palpable,std,,
spleen_palpable,min,,
spleen_palpable,25%,,
spleen_palpable,50%,,
spleen_palpable,75%,,
spleen_palpable,max,,
spiders,count,15,139
spiders,unique,2,2
spiders,top,Yes,Yes
spiders,freq,9,94
spiders,mean,,
spiders,std,,
spiders,min,,
spiders,25%,,
spiders,50%,,
spiders,75%,,
spiders,max,,
ascites,count,15,139
ascites,unique,1,2
ascites,top,Yes,Yes
ascites,freq,15,119
ascites,mean,,
ascites,std,,
ascites,min,,
ascites,25%,,
ascites,50%,,
ascites,75%,,
ascites,max,,
varices,count,15,139
varices,unique,2,2
varices,top,Yes,Yes
varices,freq,14,122
varices,mean,,
varices,std,,
varices,min,,
varices,25%,,
varices,50%,,
varices,75%,,
varices,max,,
bilirubin,count,15.0,139.0
bilirubin,unique,,
bilirubin,top,,
bilirubin,freq,,
bilirubin,mean,1.2466666666666666,1.4316546762589928
bilirubin,std,0.7548572870480379,1.2332962766401068
bilirubin,min,0.4,0.3
bilirubin,25%,0.7,0.8
bilirubin,50%,1.0,1.0
bilirubin,75%,1.5,1.5
bilirubin,max,3.2,8.0
alk_phosphate,count,15.0,139.0
alk_phosphate,unique,,
alk_phosphate,top,,
alk_phosphate,freq,,
alk_phosphate,mean,117.33333333333333,99.93525179856115
alk_phosphate,std,60.227742381571574,45.54170069210077
alk_phosphate,min,30.0,26.0
alk_phosphate,25%,75.5,78.0
alk_phosphate,50%,119.0,85.0
alk_phosphate,75%,162.5,112.0
alk_phosphate,max,230.0,295.0
sgot,count,15.0,139.0
sgot,unique,,
sgot,top,,
sgot,freq,,
sgot,mean,85.53333333333333,85.61870503597122
sgot,std,102.50565605765141,87.51723604015393
sgot,min,18.0,14.0
sgot,25%,24.0,34.0
sgot,50%,55.0,58.0
sgot,75%,96.0,99.0
sgot,max,420.0,648.0
albumin,count,15.0,139.0
albumin,unique,,
albumin,top,,
albumin,freq,,
albumin,mean,3.8400000000000003,3.8345323741007196
albumin,std,0.5717142143214062,0.62816874754607
albumin,min,2.7,2.1
albumin,25%,3.5999999999999996,3.5
albumin,50%,4.0,4.0
albumin,75%,4.1,4.2
albumin,max,5.0,6.4
protime,count,15.0,139.0
protime,unique,,
protime,top,,
protime,freq,,
protime,mean,61.13333333333333,61.52517985611511
protime,std,15.660991880039612,17.469779676921256
protime,min,36.0,0.0
protime,25%,53.0,57.0
protime,50%,61.0,61.0
protime,75%,67.0,64.5
protime,max,100.0,100.0
histology,count,15,139
histology,unique,2,2
histology,top,No,No
histology,freq,11,73
histology,mean,,
histology,std,,
histology,min,,
histology,25%,,
histology,50%,,
histology,75%,,
histology,max,,
